Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
19;5360;passage;;Gérard;PASSAGE GERARD;passage Gérard;13e;1877-02-01;1975-12-31;;Maison-Blanche;;25;3,75;;boulevard Auguste Blanqui, 19.;rue Gérard, 20;2;3;;;Supprimé en 1975.;Arrêté du 1er février 1877. Précédemment passage des Eaux.;;;;Voisinage de la rue Gérard, nom de propriétaire.;;;;
;4426;impasse;;Levé;IMPASSE LEVE;impasse Levé;13e;;;;Maison-Blanche;;;;;rue Gérard, 36.;;;;;;Supprimée.;;;;;;;;;
