id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles
75113_4162_00062;75113_4162;62;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652374.48;6858940.52;2.351258;48.828762;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00054_b;75113_4162;54;b;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652406.12;6858976.07;2.351685;48.829084;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_7251_00006;75113_7251;6;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652608.74;6859128.19;2.354428;48.830467;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00007;75113_7251;7;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652596.27;6859112.17;2.35426;48.830322;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00008;75113_7251;8;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652599.16;6859123.71;2.354298;48.830426;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00009;75113_7251;9;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652588.24;6859108.46;2.354151;48.830288;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00010;75113_7251;10;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652588.77;6859119.02;2.354157;48.830383;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00011;75113_7251;11;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652583.75;6859106.38;2.35409;48.830269;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00012;75113_7251;12;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652579.19;6859114.65;2.354027;48.830343;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00013;75113_7251;13;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652579.77;6859104.63;2.354036;48.830253;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00014;75113_7251;14;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652574.03;6859112.24;2.353957;48.830321;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00015;75113_7251;15;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652574.9;6859102.34;2.35397;48.830232;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00016;75113_7251;16;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652566.59;6859108.86;2.353856;48.83029;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00017;75113_7251;17;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652567.9;6859099.17;2.353875;48.830203;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00019;75113_7251;19;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652560.97;6859095.89;2.353781;48.830173;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00020;75113_7251;20;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652549.86;6859101.1;2.353629;48.830219;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00021;75113_7251;21;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652551.69;6859091.63;2.353655;48.830134;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00022;75113_7251;22;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652535.87;6859096.43;2.353439;48.830176;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00023;75113_7251;23;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652539.02;6859085.84;2.353483;48.830081;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00024;75113_7251;24;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652522.15;6859088.43;2.353253;48.830103;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00025;75113_7251;25;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652527.08;6859080.38;2.353321;48.830031;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00026;75113_7251;26;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652510.88;6859083.29;2.3531;48.830056;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00027;75113_7251;27;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652519.04;6859076.66;2.353212;48.829997;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00028;75113_7251;28;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652499.9;6859078.16;2.352951;48.830009;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00029;75113_7251;29;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652511.45;6859073.17;2.353109;48.829965;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00031;75113_7251;31;;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652503.05;6859069.23;2.352995;48.829929;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00031_b;75113_7251;31;b;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652496.64;6859066.28;2.352908;48.829902;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
75113_7251_00020_b;75113_7251;20;b;Rue du Père Guérin;75013;75113;Paris 13e Arrondissement;;;652541.47;6859098.94;2.353515;48.830199;parcelle;;;PARIS;RUE DU PERE GUERIN;commune;commune;0;
